sku_id,cate,brand,type_1,type_2,type_3,type_4,type_5,type_6,type_all
138778,8,403,17209,872,354,74,105,29432,48046
61226,8,30,21525,609,243,33,128,33309,55847
72348,5,159,16638,753,276,62,138,27324,45191
103126,4,174,7618,245,127,21,34,12863,20908
137328,6,159,4503,96,55,6,35,6488,11183
4732,6,375,13364,641,290,105,92,18834,33326
27659,4,752,4870,158,91,10,25,9412,14566
6998,8,545,2969,95,43,6,11,4619,7743
127189,5,159,15970,655,286,31,147,25037,42126
24679,8,658,8536,291,89,31,59,14752,23758
22387,8,30,625,12,4,0,1,1304,1946
145895,8,693,15836,558,281,19,96,25571,42361
107774,10,36,3260,65,35,0,14,4663,8037
87598,9,78,1720,54,36,4,13,2622,4449
153817,6,165,2175,55,31,3,12,3141,5417
123773,8,693,12741,363,146,24,63,19872,33209
41958,6,269,4758,150,57,6,38,7655,12664
126791,5,479,20164,721,287,47,180,33190,54589
91145,9,640,2959,53,35,5,20,5319,8391
13931,5,159,37656,1373,561,73,253,58302,98218
162108,4,306,17667,400,213,29,89,29025,47423
151327,8,403,45352,1940,721,134,256,73071,121474
165290,4,885,28598,796,451,53,137,42561,72596
9112,5,78,7465,250,123,16,53,11610,19517
11261,4,174,4075,141,88,13,20,6882,11219
136001,7,24,1343,17,10,2,5,1975,3352
115863,8,124,4432,151,51,12,23,7646,12315
157850,7,118,7285,271,122,62,44,10776,18560
5825,8,885,42710,1805,684,127,246,68944,114516
66968,4,231,23669,676,254,89,122,37985,62795
91043,5,306,1315,31,15,2,11,1846,3220
37368,9,95,29,1,0,0,0,29,59
104317,4,885,846,29,17,0,6,1617,2515
102034,5,78,14930,490,162,22,103,23823,39530
89434,5,159,28,0,0,0,0,32,60
15168,6,78,26576,528,250,25,130,40369,67878
83348,7,484,669,13,9,1,2,933,1627
143981,4,752,39274,944,406,44,256,64591,105515
157381,8,214,1126,11,4,0,4,1751,2896
122497,4,36,10113,267,135,15,71,18133,28734
126266,4,752,11346,162,77,2,71,15770,27428
170497,6,78,1774,39,30,1,8,2587,4439
146353,6,174,2714,184,91,36,31,4095,7151
34199,10,36,3283,59,30,1,48,15125,18546
93621,6,375,1264,36,21,7,8,1886,3222
88414,4,519,30806,446,302,46,123,53411,85134
73515,4,200,12529,280,136,10,55,21062,34072
6866,4,800,6612,270,130,49,36,10610,17707
12540,8,545,5875,210,86,15,51,9057,15294
36692,4,174,20555,524,234,42,127,33872,55354
73134,9,95,27,1,1,0,1,32,62
81131,7,38,11207,374,150,39,65,19612,31447
51852,4,306,13183,379,167,42,84,22875,36730
74655,4,752,11077,254,152,7,53,21848,33391
61796,4,752,19204,533,203,44,124,36041,56149
129711,7,630,3722,191,124,16,14,5510,9577
51307,4,752,5330,194,102,13,37,12053,17729
149290,9,302,456,9,3,1,1,723,1193
125188,5,479,57512,2041,861,175,432,88716,149737
117882,4,519,59565,1148,589,87,258,94363,156010
22030,8,403,1309,48,20,1,9,2230,3617
43449,8,693,3903,105,39,5,21,6178,10251
136276,7,587,14234,397,156,52,82,22790,37711
8952,4,885,810,10,4,0,7,1412,2243
87630,4,885,715,1,1,0,1,879,1597
116489,8,545,23421,724,285,71,132,34301,58934
117144,4,885,33553,682,281,31,180,48936,83663
150041,6,306,37794,1116,559,44,223,56045,95781
54209,6,306,52867,1592,692,117,347,78283,133898
166345,9,306,12882,943,509,102,60,20068,34564
80082,6,800,1624,49,37,5,13,3151,4879
169935,4,519,16900,182,84,8,52,24210,41436
98971,4,800,1278,28,22,4,4,2200,3536
116597,8,812,1883,51,22,1,13,3160,5130
141395,6,570,151,7,3,0,0,254,415
20719,4,519,76497,1948,785,303,338,125283,205154
28502,5,306,4228,127,69,2,32,6323,10781
115851,8,885,14847,541,227,42,88,22915,38660
28276,4,519,76066,1965,725,363,349,129514,208982
6931,6,570,84,6,3,0,1,162,256
56797,5,489,12570,541,301,102,72,17957,31543
22140,6,306,52484,1897,837,185,335,78758,134496
21457,8,214,16042,408,173,16,98,25278,42015
68774,9,630,5477,359,200,26,23,8158,14243
137805,4,159,23330,613,326,33,112,39200,63614
106647,4,885,16197,438,219,21,90,26557,43522
147796,8,489,37973,1352,567,73,146,61809,101920
86806,4,174,37,1,0,0,0,95,133
140741,7,587,21991,509,262,53,92,34925,57832
80499,4,752,21590,578,286,35,92,37135,59716
30199,5,159,2925,77,43,3,26,4478,7552
10711,5,118,210,7,2,0,0,384,603
43960,4,174,9284,361,183,23,56,14534,24441
68718,4,752,12835,376,182,30,81,23648,37152
92555,5,306,4046,109,73,15,19,5589,9851
7199,4,306,21037,587,310,51,106,32595,54686
143294,5,225,615,12,6,0,2,989,1624
128121,5,159,2443,67,29,5,15,3566,6125
158793,6,375,2433,75,27,5,15,3928,6483
157009,5,159,3157,95,47,2,22,4860,8183
2100,4,800,46022,1177,612,82,186,74278,122357
70888,6,885,1660,63,35,9,7,2477,4251
169819,8,214,50046,1499,624,39,314,74307,126829
121201,10,653,631,20,8,1,1,1062,1723
7295,4,199,10471,361,203,60,52,16891,28038
32796,4,675,19835,402,209,44,58,27934,48482
66220,4,658,5645,143,95,9,27,8321,14240
59259,4,658,14186,347,227,39,85,24430,39314
